,name,sales,type,portion,type_rank,sales_link,para_link
0,秦Pro,28151,紧凑型车,28.95%,4,https://xl.16888.com/s/128216/,https://www.16888.com/128216/options/
1,宋PLUS,19706,SUV,20.26%,6,https://xl.16888.com/s/128911/,https://www.16888.com/128911/options/
2,汉,12841,中大型车,13.21%,2,https://xl.16888.com/s/128787/,https://www.16888.com/128787/options/
3,海豚,8809,小型车,9.06%,3,https://xl.16888.com/s/129217/,https://www.16888.com/129217/options/
4,唐新能源,8125,SUV,8.36%,40,https://xl.16888.com/s/126549/,https://www.16888.com/126549/options/
5,元新能源,6521,SUV,6.71%,50,https://xl.16888.com/s/128065/,https://www.16888.com/128065/options/
6,宋,5371,SUV,5.52%,59,https://xl.16888.com/s/126941/,https://www.16888.com/126941/options/
7,比亚迪e2,3349,紧凑型车,3.44%,35,https://xl.16888.com/s/128578/,https://www.16888.com/128578/options/
8,秦新能源,1898,紧凑型车,1.95%,49,https://xl.16888.com/s/128198/,https://www.16888.com/128198/options/
9,比亚迪F3,1049,紧凑型车,1.08%,59,https://xl.16888.com/s/57332/,https://www.16888.com/57332/options/
10,宋MAX,701,MPV,0.72%,29,https://xl.16888.com/s/127804/,https://www.16888.com/127804/options/
11,比亚迪e3,450,紧凑型车,0.46%,64,https://xl.16888.com/s/128565/,https://www.16888.com/128565/options/
12,比亚迪D1,193,MPV,0.2%,41,https://xl.16888.com/s/129052/,https://www.16888.com/129052/options/
13,比亚迪e6,78,MPV,0.08%,50,https://xl.16888.com/s/57330/,https://www.16888.com/57330/options/
14,宋MAX新能源,--,MPV,--,--,https://xl.16888.com/s/128417/,https://www.16888.com/128417/options/
15,宋新能源,--,SUV,--,--,https://xl.16888.com/s/127723/,https://www.16888.com/127723/options/
16,比亚迪M6,--,MPV,--,--,https://xl.16888.com/s/57336/,https://www.16888.com/57336/options/
17,比亚迪e5,--,紧凑型车,--,--,https://xl.16888.com/s/127290/,https://www.16888.com/127290/options/
18,唐,--,SUV,--,--,https://xl.16888.com/s/128089/,https://www.16888.com/128089/options/
19,秦,--,紧凑型车,--,--,https://xl.16888.com/s/128676/,https://www.16888.com/128676/options/
20,比亚迪e1,--,微型车,--,--,https://xl.16888.com/s/128426/,https://www.16888.com/128426/options/
