title,link
2021年11月汽车商品进出口情况简析,http://www.caam.org.cn/chn/4/cate_30/con_5235206.html
产业运行 | 2021年11月汽车工业经济运行情况,http://www.caam.org.cn/chn/4/cate_30/con_5235205.html
2021年11月汽车工业经济运行情况简析,http://www.caam.org.cn/chn/4/cate_30/con_5235200.html
2021年10月汽车工业经济运行情况,http://www.caam.org.cn/chn/4/cate_30/con_5234955.html
八部门：2025年规上制造企业大部分实现数字化网络化,http://www.caam.org.cn/chn/8/cate_82/con_5235276.html
多款“零关税”进口新车海口港通关放行,http://www.caam.org.cn/chn/8/cate_82/con_5235275.html
2021年轮胎行业：“提价、扩产、求变”成三大关键词,http://www.caam.org.cn/chn/8/cate_83/con_5235280.html
中国一汽出海背后的时代价值：中国制造享誉中外,http://www.caam.org.cn/chn/8/cate_83/con_5235135.html
小鹏汽车肇庆基地光伏项目正式并网发电,http://www.caam.org.cn/chn/8/cate_86/con_5235120.html
拓普集团首个空气悬架系统工厂落成,http://www.caam.org.cn/chn/8/cate_86/con_5235114.html
